family_id,source,model,n_historical,n_support,n_test,valid_pair_count,correct_pair_count,pairwise_accuracy,within_family_spearman
2022_Bhardwaj|len=10|Circle,2022_Bhardwaj,Chemistry + Site + Context,7189,10,25,298,211,0.7080536912751678,0.5509811873792587
2022_Bhardwaj|len=10|Circle,2022_Bhardwaj,ECFP,7189,10,25,298,180,0.6040268456375839,0.29973068782712464
2022_Bhardwaj|len=11|Circle,2022_Bhardwaj,Sequence,7208,4,12,65,48,0.7384615384615385,0.5456140350877193
2022_Bhardwaj|len=11|Circle,2022_Bhardwaj,Chemistry,7208,4,12,65,40,0.6153846153846154,0.3502632341691732
2022_Bhardwaj|len=11|Circle,2022_Bhardwaj,Chemistry + Site,7208,4,12,65,43,0.6615384615384615,0.4833632631534589
2022_Bhardwaj|len=11|Circle,2022_Bhardwaj,Chemistry + Site + Context,7208,4,12,65,47,0.7230769230769231,0.5604211746706771
2022_Bhardwaj|len=11|Circle,2022_Bhardwaj,ECFP,7208,4,12,65,45,0.6923076923076923,0.5604211746706771
2022_Lee|len=11|Circle,2022_Lee,Sequence,7200,7,17,130,38,0.2923076923076923,-0.6010272368857222
2022_Lee|len=11|Circle,2022_Lee,Chemistry,7200,7,17,130,49,0.3769230769230769,-0.36669311999567594
2022_Lee|len=11|Circle,2022_Lee,Chemistry + Site,7200,7,17,130,47,0.36153846153846153,-0.3791233952497666
2022_Lee|len=11|Circle,2022_Lee,Chemistry + Site + Context,7200,7,17,130,35,0.2692307692307692,-0.595410184670945
2022_Lee|len=11|Circle,2022_Lee,ECFP,7200,7,17,130,83,0.6384615384615384,0.4458158505699205
2022_Taechalertpaisarn|len=6|Circle,2022_Taechalertpaisarn,Sequence,7172,15,37,665,478,0.718796992481203,0.6891707297735786
2022_Taechalertpaisarn|len=6|Circle,2022_Taechalertpaisarn,Chemistry,7172,15,37,665,472,0.7097744360902256,0.601592887998225
2022_Taechalertpaisarn|len=6|Circle,2022_Taechalertpaisarn,Chemistry + Site,7172,15,37,665,506,0.7609022556390977,0.7145146547303382
2022_Taechalertpaisarn|len=6|Circle,2022_Taechalertpaisarn,Chemistry + Site + Context,7172,15,37,665,537,0.8075187969924812,0.8014711949789416
2022_Taechalertpaisarn|len=6|Circle,2022_Taechalertpaisarn,ECFP,7172,15,37,665,406,0.6105263157894737,0.36927481386586825
2023_Ghosh|len=6|Circle,2023_Ghosh,Sequence,7205,5,14,91,66,0.7252747252747253,0.8328046465275425
2023_Ghosh|len=6|Circle,2023_Ghosh,Chemistry,7205,5,14,91,68,0.7472527472527473,0.7557322834011807
2023_Ghosh|len=6|Circle,2023_Ghosh,Chemistry + Site,7205,5,14,91,72,0.7912087912087912,0.7626373626373627
2023_Ghosh|len=6|Circle,2023_Ghosh,Chemistry + Site + Context,7205,5,14,91,76,0.8351648351648352,0.8549450549450549
2023_Ghosh|len=6|Circle,2023_Ghosh,ECFP,7205,5,14,91,69,0.7582417582417582,0.7334819555076878
