split,feature_set_id,seed,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,seed_bootstrap,interval
random,B+C,2,r2,0.3928146209211104,0.3262968948054616,0.4735857452033362,unique peptide sequence,2000,20260717,percentile
random,B+C,2,rmse,0.8902304256998801,0.7357879928921004,1.0455870106195293,unique peptide sequence,2000,20260717,percentile
random,B+C,2,mae,0.5627346610396897,0.48980542470896676,0.6516986170489233,unique peptide sequence,2000,20260717,percentile
random,B+C,2,spearman,0.6813606537664386,0.6431885390083198,0.7292834744872393,unique peptide sequence,2000,20260717,percentile
random,B+C,3,r2,0.3871758976268087,0.3091432081690397,0.4770494854133049,unique peptide sequence,2000,20260717,percentile
random,B+C,3,rmse,0.8943545060937494,0.7416965268663344,1.0406851722958816,unique peptide sequence,2000,20260717,percentile
random,B+C,3,mae,0.5683517452777268,0.49189974472875153,0.6563774169946328,unique peptide sequence,2000,20260717,percentile
random,B+C,3,spearman,0.6802658461677777,0.6399295662572173,0.7276550404646178,unique peptide sequence,2000,20260717,percentile
random,B+C,4,r2,0.34305451069198445,0.23661933500824922,0.44911418616444476,unique peptide sequence,2000,20260717,percentile
random,B+C,4,rmse,0.9259903229399769,0.7579541609002267,1.0878484876442671,unique peptide sequence,2000,20260717,percentile
random,B+C,4,mae,0.5882177010199594,0.5060756241643615,0.6809866489988685,unique peptide sequence,2000,20260717,percentile
random,B+C,4,spearman,0.6646800582035058,0.6175153571522407,0.7174366742697763,unique peptide sequence,2000,20260717,percentile
random,A+B+C,0,r2,0.47358583650447694,0.3937333732430922,0.5784054291203607,unique peptide sequence,2000,20260717,percentile
random,A+B+C,0,rmse,0.8289065347598314,0.6674108585035858,0.9850274422788022,unique peptide sequence,2000,20260717,percentile
random,A+B+C,0,mae,0.4986371145521948,0.42689265143883504,0.5798431218413798,unique peptide sequence,2000,20260717,percentile
random,A+B+C,0,spearman,0.7448109363294894,0.7015232487258127,0.7952934124009582,unique peptide sequence,2000,20260717,percentile
random,A+B+C,1,r2,0.46028518495379833,0.3875972998427226,0.5567690768426972,unique peptide sequence,2000,20260717,percentile
random,A+B+C,1,rmse,0.8393130008762237,0.6825588948320056,0.9918691346080749,unique peptide sequence,2000,20260717,percentile
random,A+B+C,1,mae,0.5084259270334791,0.4362039936504412,0.5880350110849971,unique peptide sequence,2000,20260717,percentile
random,A+B+C,1,spearman,0.7322519518306939,0.6934467029862914,0.7805506927832212,unique peptide sequence,2000,20260717,percentile
random,A+B+C,2,r2,0.4689942011941033,0.37361669173111556,0.5819317574845462,unique peptide sequence,2000,20260717,percentile
random,A+B+C,2,rmse,0.8325137448817622,0.6620834199705603,0.9968085006088153,unique peptide sequence,2000,20260717,percentile
random,A+B+C,2,mae,0.49773665762043656,0.41952917475120094,0.5865242025203266,unique peptide sequence,2000,20260717,percentile
random,A+B+C,2,spearman,0.744766528463441,0.699134936327281,0.79447757251625,unique peptide sequence,2000,20260717,percentile
random,A+B+C,3,r2,0.4685709461661183,0.389360389249917,0.5715103911011066,unique peptide sequence,2000,20260717,percentile
random,A+B+C,3,rmse,0.8328454695456904,0.6647653329870559,0.9921678268590408,unique peptide sequence,2000,20260717,percentile
random,A+B+C,3,mae,0.503537014519352,0.42971895092124346,0.5857729332065457,unique peptide sequence,2000,20260717,percentile
random,A+B+C,3,spearman,0.734040468941152,0.691615775483003,0.7855211231720796,unique peptide sequence,2000,20260717,percentile
random,A+B+C,4,r2,0.4611813829272594,0.355282441114042,0.5840909704312711,unique peptide sequence,2000,20260717,percentile
random,A+B+C,4,rmse,0.8386158705560225,0.6634444649552979,1.0129132355143253,unique peptide sequence,2000,20260717,percentile
random,A+B+C,4,mae,0.501129637257033,0.41681640093645617,0.602819541434471,unique peptide sequence,2000,20260717,percentile
random,A+B+C,4,spearman,0.7416784223227866,0.6950255095050001,0.7923023750195133,unique peptide sequence,2000,20260717,percentile
