representation_id,seed,feature,subblock,mean_absolute_shap,proportion
A+B,4,anchor_pos_mean,B1,0.14102156460285187,0.07612294703722
A+B,4,anchor_pos_std,B1,0.13387936353683472,0.07226761430501938
A+B,4,anchor_pos_range,B1,0.067832812666893,0.03661591559648514
A+B,4,anchor_res_A,B2,0.03373019024729729,0.01820744015276432
A+B,4,anchor_res_C,B2,0.0,0.0
A+B,4,anchor_res_D,B2,0.001726033864542842,0.0009317070944234729
A+B,4,anchor_res_E,B2,0.0,0.0
A+B,4,anchor_res_F,B2,0.039559122174978256,0.02135387621819973
A+B,4,anchor_res_G,B2,0.038374848663806915,0.02071460895240307
A+B,4,anchor_res_H,B2,0.0,0.0
A+B,4,anchor_res_I,B2,0.0025843463372439146,0.0013950212160125375
A+B,4,anchor_res_K,B2,0.0002854994381777942,0.00015411160711664706
A+B,4,anchor_res_L,B2,0.054742131382226944,0.0295496117323637
A+B,4,anchor_res_M,B2,0.0,0.0
A+B,4,anchor_res_N,B2,0.0,0.0
A+B,4,anchor_res_P,B2,0.05369054153561592,0.028981966897845268
A+B,4,anchor_res_Q,B2,0.0,0.0
A+B,4,anchor_res_R,B2,0.0,0.0
A+B,4,anchor_res_S,B2,0.013328082859516144,0.007194452919065952
A+B,4,anchor_res_T,B2,0.009861782193183899,0.0053233555518090725
A+B,4,anchor_res_V,B2,0.013274956494569778,0.007165775168687105
A+B,4,anchor_res_W,B2,0.00019171321764588356,0.00010348612704547122
A+B,4,anchor_res_Y,B2,0.0034143594093620777,0.0018430593190714717
A+B,4,anchor_hydrophobic_frac,B3,0.055472373962402344,0.029943794012069702
A+B,4,anchor_charged_frac,B3,0.035412248224020004,0.01911540888249874
A+B,4,anchor_polar_frac,B3,0.008907148614525795,0.004808047786355019
A+B,4,anchor_aromatic_frac,B3,0.02862456813454628,0.015451442450284958
A+B,4,anchor_small_frac,B3,0.04464574530720711,0.024099618196487427
A+B,4,anchor_proline_frac,B3,0.029176129028201103,0.015749173238873482
A+B,4,anchor_terminal_frac,B3,0.006864592432975769,0.0037054831627756357
A+B,4,anchor_n_terminal_count,B3,0.0025354339741170406,0.0013686184538528323
A+B,4,anchor_c_terminal_count,B3,0.11208387464284897,0.06050248444080353
A+B+C,0,mol_weight,A,0.06269268691539764,0.04494716227054596
A+B+C,0,logp,A,0.18150892853736877,0.1301317811012268
A+B+C,0,tpsa,A,0.06491167098283768,0.04653805121779442
A+B+C,0,num_h_acceptors,A,0.003941270522773266,0.0028256713412702084
A+B+C,0,num_h_donors,A,0.04170193523168564,0.029897963628172874
A+B+C,0,num_rotatable_bonds,A,0.09503635764122009,0.06813577562570572
A+B+C,0,num_aromatic_rings,A,0.023928476497530937,0.01715538464486599
A+B+C,0,num_aliphatic_rings,A,0.02750207670032978,0.01971745677292347
A+B+C,0,num_edits,A,0.00179259420838207,0.0012851901119574904
A+B+C,0,num_edit_families,A,0.002030780538916588,0.00145595648791641
A+B+C,0,anchor_count_total,B1,0.0028240152169018984,0.0020246615167707205
A+B+C,0,anchor_count_unique,B1,0.006499423645436764,0.004659724421799183
A+B+C,0,anchor_density,B1,0.03182682767510414,0.02281806245446205
A+B+C,0,anchor_pos_mean,B1,0.049094803631305695,0.035198237746953964
A+B+C,0,anchor_pos_std,B1,0.08692499995231628,0.06232038140296936
A+B+C,0,anchor_pos_range,B1,0.00792771391570568,0.005683728959411383
A+B+C,0,anchor_res_A,B2,0.016492921859025955,0.01182450633496046
A+B+C,0,anchor_res_C,B2,0.0,0.0
A+B+C,0,anchor_res_D,B2,0.039949189871549606,0.028641343116760254
A+B+C,0,anchor_res_E,B2,0.0,0.0
A+B+C,0,anchor_res_F,B2,0.031193150207400322,0.022363750264048576
A+B+C,0,anchor_res_G,B2,0.005170438904315233,0.0037069167010486126
A+B+C,0,anchor_res_H,B2,0.0,0.0
A+B+C,0,anchor_res_I,B2,0.0019313947996124625,0.0013847025111317635
A+B+C,0,anchor_res_K,B2,2.0581213902914897e-05,1.4755583833903074e-05
A+B+C,0,anchor_res_L,B2,0.044631119817495346,0.03199802711606026
A+B+C,0,anchor_res_M,B2,0.0,0.0
A+B+C,0,anchor_res_N,B2,0.0,0.0
A+B+C,0,anchor_res_P,B2,0.04441210627555847,0.03184100612998009
A+B+C,0,anchor_res_Q,B2,0.0,0.0
A+B+C,0,anchor_res_R,B2,0.0,0.0
A+B+C,0,anchor_res_S,B2,0.0045739407651126385,0.003279260592535138
A+B+C,0,anchor_res_T,B2,0.006363574415445328,0.004562328103929758
A+B+C,0,anchor_res_V,B2,0.009097513742744923,0.006522410549223423
A+B+C,0,anchor_res_W,B2,0.0,0.0
A+B+C,0,anchor_res_Y,B2,0.002027735812589526,0.0014537735842168331
A+B+C,0,anchor_hydrophobic_frac,B3,0.01932915858924389,0.013857929967343807
A+B+C,0,anchor_charged_frac,B3,0.005248259752988815,0.0037627099081873894
A+B+C,0,anchor_polar_frac,B3,0.007955269888043404,0.005703485105186701
A+B+C,0,anchor_aromatic_frac,B3,0.0059440298937261105,0.00426153838634491
A+B+C,0,anchor_small_frac,B3,0.029886433854699135,0.021426908671855927
A+B+C,0,anchor_proline_frac,B3,0.001408789656125009,0.001010023639537394
A+B+C,0,anchor_terminal_frac,B3,0.0016887191450223327,0.0012107174843549728
A+B+C,0,anchor_n_terminal_count,B3,0.0001827560772653669,0.00013102592492941767
A+B+C,0,anchor_c_terminal_count,B3,0.04027578607201576,0.02887549437582493
A+B+C,0,edit_family_n_terminal,C,0.0,0.0
A+B+C,0,edit_family_c_terminal,C,0.0023082608822733164,0.001654894440434873
A+B+C,0,edit_family_sidechain,C,0.0,0.0
A+B+C,0,edit_family_backbone,C,0.004859407898038626,0.0034839247819036245
